tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
688f9793_05632_04096,1,"(176, 87)",120.3,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_04096.png
688f9793_05632_04608,0,"(394, 398)",181.5,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_04608.png
688f9793_05632_04608,1,"(380, 107)",185.7,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_04608.png
688f9793_05632_05120,0,"(468, 365)",59.8,11.59,0.08,0.0,0.0,0.064,overlay/688f9793_05632_05120.png
688f9793_05632_05120,1,"(458, 85)",66.6,6.18,0.16,0.0,0.035,0.047,overlay/688f9793_05632_05120.png
688f9793_05632_05632,0,"(62, 341)",95.7,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_05632.png
688f9793_05632_05632,1,"(41, 76)",48.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_05632.png
688f9793_05632_06144,0,"(250, 399)",217.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_06144.png
688f9793_05632_06144,1,"(192, 63)",144.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_06144.png
688f9793_05632_06656,0,"(262, 418)",132.1,4.72,0.37,0.0,0.042,0.198,overlay/688f9793_05632_06656.png
688f9793_05632_07168,0,"(409, 376)",156.3,0.36,0.61,0.095,0.047,0.0,overlay/688f9793_05632_07168.png
688f9793_05632_07680,0,"(392, 443)",67.6,9.91,0.15,0.0,0.0,0.123,overlay/688f9793_05632_07680.png
688f9793_05632_07680,1,"(23, 355)",32.6,0.6,1.47,0.126,0.279,0.0,overlay/688f9793_05632_07680.png
688f9793_05632_08192,0,"(145, 409)",108.6,0.0,3.01,0.181,0.547,0.376,overlay/688f9793_05632_08192.png
688f9793_05632_08192,1,"(379, 51)",73.0,0.12,2.57,0.126,0.486,0.39,overlay/688f9793_05632_08192.png
688f9793_06144_02560,0,"(340, 384)",174.5,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_06144_02560.png
688f9793_06144_02560,1,"(230, 108)",185.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_06144_02560.png
688f9793_06144_03072,0,"(423, 78)",100.4,28.68,0.0,0.0,0.0,0.002,overlay/688f9793_06144_03072.png
688f9793_06144_03584,0,"(64, 369)",107.3,11.06,0.13,0.0,0.0,0.105,overlay/688f9793_06144_03584.png
688f9793_06144_03584,1,"(83, 115)",48.7,4.64,0.36,0.0,0.104,0.041,overlay/688f9793_06144_03584.png
688f9793_06144_04096,0,"(225, 335)",144.9,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_06144_04096.png
